时间,区域,出租车数量,公交车数量,气温,风向,风速,雨量,AQI,空气质量
2019-04-26 12:00:00,浦东新区,52340,185,27.2,162,5.1,0.0,73,良
2019-04-26 15:00:00,浦东新区,49651,162,26.5,167,5.6,0.0,107,轻度污染
2019-04-26 18:00:00,浦东新区,50050,196,23.9,162,5.2,0.0,106,轻度污染
2019-04-26 21:00:00,浦东新区,52692,114,20.3,156,3.2,0.0,87,良
2019-04-27 00:00:00,浦东新区,52471,9,19.5,151,2.7,0.0,83,良
2019-04-27 03:00:00,浦东新区,48769,0,19.3,155,4.2,0.0,92,良
2019-04-27 06:00:00,浦东新区,53213,87,18.8,142,2.7,0.0,55,良
2019-04-27 09:00:00,浦东新区,54413,213,22.1,175,8.4,0.0,58,良
2019-04-27 12:00:00,浦东新区,51762,187,25.1,133,5.1,0.0,57,良
2019-04-27 15:00:00,浦东新区,52744,155,25.8,186,6.7,0.0,57,良
2019-04-27 18:00:00,浦东新区,48039,208,23.4,183,5.3,0.0,68,良
2019-04-27 21:00:00,浦东新区,52021,136,20.8,144,4,0.0,57,良
2019-04-28 00:00:00,浦东新区,51452,12,19.8,164,2.7,0.0,78,良
2019-04-28 03:00:00,浦东新区,44073,0,19.7,172,2.2,0.0,79,良
2019-04-28 06:00:00,浦东新区,56052,85,20.3,209,2.7,0.0,95,良
2019-04-28 09:00:00,浦东新区,49520,228,25,248,3.1,0.0,123,轻度污染
2019-04-28 12:00:00,浦东新区,48187,159,29,261,6.8,0.0,115,轻度污染
2019-04-28 15:00:00,浦东新区,51798,157,30.2,264,5.1,0.0,125,轻度污染
2019-04-28 18:00:00,浦东新区,47193,205,22.4,83,3.8,0.0,135,轻度污染
2019-04-28 21:00:00,浦东新区,59556,134,19.1,56,4.9,0.0,89,良
2019-04-29 00:00:00,浦东新区,62672,17,17.4,318,8.1,5.1,40,优
2019-04-29 03:00:00,浦东新区,47562,0,17.3,285,4.2,0.0,40,优
2019-04-29 06:00:00,浦东新区,58991,83,16.5,////,0,0.0,77,良
2019-04-29 09:00:00,浦东新区,70475,211,17,308,3.2,0.0,87,良
2019-04-29 12:00:00,浦东新区,49097,187,16.8,305,6.2,0.0,59,良
2019-04-29 15:00:00,浦东新区,49736,154,18.2,310,6.6,0.0,50,优
2019-04-29 18:00:00,浦东新区,45188,215,18.7,313,5.5,0.0,48,优
2019-04-29 21:00:00,浦东新区,55360,144,17.4,267,2.1,0.0,72,良
2019-04-30 00:00:00,浦东新区,55527,9,15.6,264,2.3,0.0,77,良
2019-04-30 03:00:00,浦东新区,55452,0,14.7,272,0.8,0.0,92,良
2019-04-30 06:00:00,浦东新区,64570,85,15.6,287,2.8,0.0,150,轻度污染
2019-04-30 09:00:00,浦东新区,62742,229,20.5,299,4.5,0.0,/,/
2019-04-30 12:00:00,浦东新区,56155,157,23.9,286,5,0.0,84,良
2019-04-30 15:00:00,浦东新区,65307,151,24.8,56,3.3,0.0,90,良
2019-04-30 18:00:00,浦东新区,51638,187,19.9,80,2.6,0.0,134,轻度污染
